station_id,station_name,geodivision_id,geodivision_name,X,Y,Z
LGT1,Phournoi,3,North & East Eagean,26.5,37.6,5
LGL1,Phourphouras_Rethumnou,1,Crete,24.7,35.2,471
LGR2,Phragma_Mornou,8,Central Greece,22.1,38.5,445
LGZ8,Photolibos_Dramas,5,Macedonia,24.1,41.1,58
LG8I,Khaidari_Dasos,10,Attica,23.7,38.0,151
LGA8,Khalandritsa_AkhaIas,9,Peloponnese,21.8,38.1,362
LG9L,Khalastra_Thessalonikes,11,Salonica,22.8,40.6,1
LG25,Khania,1,Crete,24.1,35.5,137
LGN3,Khania_Kentro,1,Crete,24.0,35.5,10
LG6H,Kharokopeio_Athena,10,Attica,23.70777777777778,37.961111111111116,37
LG4A,Khios,3,North & East Eagean,26.1,38.4,23
LG7M,Khios_Bessa,3,North & East Eagean,26.006666666666668,38.26305555555555,199
LG5F,Khios_Ionia,3,North & East Eagean,26.079166666666666,38.24055555555556,145
LG2N,Psara,3,North & East Eagean,25.56416666666667,38.54333333333333,18
LG8M,Psakhna_Euboias,15,Evia,23.649166666666666,38.56944444444445,46
LG96,Psukhiko,10,Attica,23.780555555555555,38.0175,209
LGD5,Olene_Eleias,9,Peloponnese,21.5,37.7,61
LG91,Olenia_AkhaIas,9,Peloponnese,21.8,38.1,34
LG0T,Oraioi_Euboias,15,Evia,23.1,38.9,30
LG8O,Oropos,10,Attica,23.8,38.3,7
