station_id,station_name,geodivision_id,geodivision_name,X,Y,Z
LGR9,Θεσσαλονίκη (Καλαμαριά),11,Θεσσαλονίκη,22.9,40.6,5
LG4G,Θήβα,8,Στερεά Ελλάδα,23.3,38.3,255
LG95,Ιεράπετρα,1,Κρήτη,25.7,35.0,15
LGB0,Ιθάκη,2,Νησιά Ιονίου,20.7,38.4,7
LGI9,Ικαρία (Ράχες),3,Βόρειο & Ανατολικό Αιγαίο,26.1,37.6,465
LGM9,Ιμερος Ροδόπης,4,Θράκη,25.36916666666667,40.95527777777778,25
LGI0,Ιος,13,Κυκλάδες,25.3,36.7,3
LGT8,Ιπποκράτειος Πολιτεία,10,Αττική,23.8,38.2,568
LG85,Ισθμός Κορίνθου,9,Πελοπόννησος,23.0,38.0,6
LG9T,Ιστιαία Ευβοίας,15,Εύβοια,23.129166666666666,38.95027777777778,55
LG7T,Ίσωμα Κιλκίς,18,Δίκτυο Κιλκίς,23.2,41.0,565
LG49,Ιωάννινα,6,Ήπειρος,20.9,39.6,475
LG5J,Καβάλα,5,Μακεδονία,24.400277777777777,40.94027777777777,90
LGR5,Καβοντόρο,15,Εύβοια,24.583055555555557,38.14972222222222,376
LGB5,Κάβος Μαλέα,9,Πελοπόννησος,23.10138888888889,36.47555555555556,161
LG93,Καϊμακτσαλάν,5,Μακεδονία,21.8,40.9,2090
LG8P,Καισάρεια Κοζάνης,17,Δίκτυο Κοζάνης,21.859722222222224,40.183611111111105,380
LG7R,Κακόπετρος Χανίων,1,Κρήτη,23.4,35.2,462
LGV7,Καλάβρυτα,9,Πελοπόννησος,22.1,38.0,781
LG6A,Καλαμάτα,9,Πελοπόννησος,22.1,37.0,5
LG8K,Καλαμάτα - Δυτικά,9,Πελοπόννησος,22.11277777777778,37.03916666666667,10
LGW3,Καλαμπάκα,7,Θεσσαλία,21.6,39.7,238
LGG6,Κάλυμνος,12,Δωδεκάνησα,26.980555555555554,36.95138888888889,35
LG1U,Κάμποι Κεραμιών Χανίων,1,Κρήτη,24.1,35.4,555
LG9G,Κάνδανος Χανίων,1,Κρήτη,23.7,35.3,430
LGJ7,Καπαρέλλι Βοιωτίας,8,Στερεά Ελλάδα,23.2,38.38333333333333,345
LG2H,Καρδάμυλα Χίου,3,Βόρειο & Ανατολικό Αιγαίο,26.115000000000002,38.53805555555555,7
LGZ3,Καρδαμύλη Μάνης,9,Πελοπόννησος,26.115000000000002,38.53805555555555,2
LG2A,Καρδίτσα,7,Θεσσαλία,21.9,39.4,91
LGC9,Καρπενήσι,8,Στερεά Ελλάδα,21.8,38.9,700
LG6L,Καρπενήσι - Πόλη,8,Στερεά Ελλάδα,21.8,38.9,990
LG4R,Καρπερό Γρεβενών,16,Δίκτυο Δεσκάτης,21.6225,39.947222222222216,495
LG2L,Κάρυστος Ευβοίας,15,Εύβοια,24.41916666666667,38.01638888888889,30
LGM5,Κάσος,12,Δωδεκάνησα,26.9,35.4,4
LGO9,Κασσάνδρεια,5,Μακεδονία,23.4,40.1,29
LG0M,Καστελλόριζο,12,Δωδεκάνησα,29.6,36.1,5
LGC0,Καστοριά,5,Μακεδονία,21.316666666666666,40.5,623
LG0C,Καστρίτσι Αχαΐας,9,Πελοπόννησος,21.836666666666666,38.275277777777774,520
LGE0,Καταρράκτης Αρτας,6,Ήπειρος,21.1,39.4,803
LGAC,Κατταβιά Ρόδου,12,Δωδεκάνησα,27.7675,35.95444444444445,55
LGP7,Κάτω Βλασσία Αχαΐας,9,Πελοπόννησος,21.926111111111112,38.00972222222222,773
LGE3,Κέα,13,Κυκλάδες,24.39638888888889,37.66583333333333,192
LG5D,Κερασιά Πέλλας,5,Μακεδονία,22.0,40.9,690
LG9J,Κερατέα Αττικής,10,Αττική,23.969166666666666,38.809444444444445,210
